model,checkpoint,stratum,sample_count,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio,shape_cv_rmse,scale_log_rmse,legacy_normalized_valid_base_mse,signed_scale_error_mean,signed_scale_error_median
Dual,sample_first_best,scale_signed_central_p10_p90,102,18.02797257483516,16.36564401997422,0.12270640651340221,0.9905252021460232,0.9834079724264573,0.2323111269742653,0.3359125531101417,0.26406781951515246,0.005546497674381352,0.018200120366724425,0.4024407661046937,0.13672770247582977,0.10017922100225075,0.019863531800075246,-0.014363331700877696,-0.017264212660245637
Dual,sample_first_best,scale_signed_high_p90,13,30.657824706953086,38.44456507764284,0.18516665654162653,1.2990600464132918,0.9656723109872283,0.40944152545368107,0.6182695577876893,0.5442490515065102,0.017675261618455004,0.034084908255070226,0.5339158536804933,0.19639814307276754,0.2777342337845849,0.04356041754604932,0.2555345455019372,0.20081283589998208
Dual,sample_first_best,scale_abs_error_top10pct,13,40.11650548051803,45.02177805803981,0.3154364328697704,0.8982502356775037,0.9736947245182924,0.7036803487213544,1.1713207954108,0.7248782011881741,0.002032408802044364,0.017703381590142717,0.34614342830367906,0.19225276019048104,0.46259403019798395,0.11941216545061681,-0.20022296383581883,-0.362703600681576
Dual,legacy_best,Q1,32,21.749841104374386,20.943771178992716,0.021806709899107296,1.0022635162328413,0.9770802230164225,0.04015647075761522,0.054222288172710215,0.03800404046545882,0.0028664741688752544,0.006014562794416326,0.4854483530233458,0.1493732435891925,0.1852101036748317,0.0006476235704920074,-0.014242324366285555,-0.0007544878915530376
Dual,legacy_best,Q2,32,30.219531072331513,25.455306412856626,0.0762399553429196,1.0426327120509011,0.974154655778751,0.1663964943496703,0.27250987536731797,0.1896178816331307,0.007297496516326286,0.015166657266972968,0.4797485723430652,0.17225139603727835,0.22483457360537445,0.0071907498515312585,0.018026203068822196,0.03989001532400785
Dual,legacy_best,Q3,32,22.206044022443468,19.20624626910917,0.11983009291037824,1.0131319263643523,0.9842768300536612,0.28986314940312385,0.4286531773039746,0.30804160473098063,0.006923258855143746,0.01932459813804432,0.44569862036605656,0.13949621379349214,0.1489070716986877,0.018548269143922748,0.00205498368300529,0.01939843194709003
Dual,legacy_best,Q4,32,22.754660266866615,19.946740565338605,0.29218353305626443,0.9588757200889293,0.9816708414736941,0.7025702875793278,1.061360401298218,0.8811367561484053,0.014825749656712715,0.04536356201843932,0.42992570394094537,0.1505785271833474,0.1700442426268781,0.11053538320818815,-0.054552325343930584,-0.0373378841014463
Dual,legacy_best,nominal_to_hard,81,21.959050178688972,22.999420845636205,0.1620084788839618,0.9936713125020123,0.9799822578612439,0.3597433026103377,0.569888333069089,0.45818394710521926,0.009170803918654671,0.021006224435832856,0.4854700920147701,0.16278296516950902,0.19973137699934346,0.03329591309202644,-0.02562243685256152,-0.02414672896301312
Dual,legacy_best,Q2_intersection_nominal_to_hard,21,34.00675556890402,29.30122176484892,0.08575393445054706,1.0281611000697974,0.9740355862130592,0.21230592478459287,0.37096614282345874,0.2533683032969319,0.006274596486035245,0.011671632813040936,0.5225759270268496,0.18686617261639837,0.26668425182679983,0.008988135095594521,-0.006201565362991834,0.06602382158350362
Dual,legacy_best,scale_signed_low_p10,13,34.85905607688486,35.82646339673806,0.33250101492487294,0.6858106709651033,0.9734870636022908,0.7111473195532858,1.177890470517713,0.8808114991445789,0.0013489647671899075,0.0201571497466665,0.33290714327796367,0.19589878013721468,0.4057567597261943,0.13971630392191256,-0.38502924238367914,-0.334424020592294
Dual,legacy_best,scale_signed_central_p10_p90,102,18.294198872807783,16.94948815236471,0.12688742908438524,1.0025738671492064,0.9821561683196401,0.2397744698920595,0.34339401664929775,0.27436760823691836,0.007757226653826771,0.020947641188519477,0.4613760285818559,0.14146581317543525,0.10005055565040374,0.021418591218439538,-0.0023759080753654113,0.0022310106467172894
Dual,legacy_best,scale_signed_high_p90,13,35.12555679134951,41.77494199559326,0.15519471146525524,1.3356039092168748,0.9626600472990655,0.35889644489913936,0.5997767641224935,0.45396642509615465,0.016341667203235113,0.026855216848944832,0.5783178624297223,0.19986023797136496,0.30240098054054276,0.029268966885122833,0.28376092000051273,0.22479982061036868
Dual,legacy_best,scale_abs_error_top10pct,13,37.6506499622993,45.679870742100235,0.2898201762794646,0.9679866317246967,0.9722987824756645,0.6429549193206137,1.138112117626337,0.8552902460296896,0.007110511818392036,0.019487135747031006,0.4418439813569133,0.20014741925036114,0.44414074817006244,0.10036595607611988,-0.12542287085961062,-0.334424020592294
Dual,final,Q1,32,21.369927847420946,20.281991241533635,0.021485300320090297,0.9940284976591219,0.9777460590232139,0.04060145634745854,0.05734659525672017,0.03947141782970002,0.0021169203623306616,0.005154796876152421,0.4202162500940517,0.14506409535414788,0.1860216668028415,0.0006251965622257041,-0.02252799513145749,-0.012744098726795508
Dual,final,Q2,32,29.07443787568786,24.716156854665222,0.07323430575126252,1.0396064642435408,0.9766693069815788,0.16377034471365215,0.26372862670999725,0.1783268682918365,0.004882806792400351,0.012023608955359113,0.4140063947137744,0.16422576874210654,0.21964067959481695,0.006656123827547256,0.016198375414317453,0.02670896751807069
Dual,final,Q3,32,21.610127173836936,18.814752045369794,0.11691769108421018,0.9972103489131507,0.9846108746094243,0.2875478436890075,0.4216321218293708,0.3065935184738521,0.004442624571721364,0.016908384190027083,0.3781764887499512,0.1381586439919091,0.14758986134005636,0.017566111761123895,-0.013470757144910321,0.007577214280901429
