group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g011,q,0,16,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,q,1,20,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,q,2,10,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,q,3,18,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,q,4,16,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,q,5,19,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,0,21,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,1,31,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,2,50,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,3,32,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,4,10,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,5,14,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g011,k,6,20,ab25678666c64a0ec86f25689e4c2b7667a663510ee08981eefea20e4e25ed6a,ef8a7294994b6d77caf128ad2d883d2d9cd3b69c6000e2d41101ab7d790d3576,240825
rb_g012,q,0,28,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
rb_g012,q,1,17,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
rb_g012,q,2,17,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
rb_g012,q,3,14,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
rb_g012,q,4,14,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
rb_g012,q,5,18,3a5a5edcc1c48cdd7efc9fa2014105dd5a9c95bb996c60beda96c3849e1bd8f7,1acc0b1c58ae10d028546d6f46c8123dc97ac04051657c74a3161a3bff866b42,240825
