population,sample_id,split_role,true_peak_deltaT_K,total_power_W,continuous_severity,absolute_peak_error_K,sample_peak_relative_error_pct,peak_error_sse_K2,peak_error_sse_rank,is_top5_sse,is_top10_sse
test128,v6p1if1_0075,test_iid,89.52467989076956,7.301285615126382,0.8154186997562647,4.084930419921875,4.562909831016388,16.686656535603106,47,False,False
test128,v6p1if1_0535,test_iid,45.947347472042395,3.1290104602403295,0.09396582935005426,0.32610321044921875,0.7097323967344207,0.10634330386528745,125,False,False
test128,v6p1if1_0262,test_iid,88.64937152252924,7.45083188014303,0.959966542199254,0.02081298828125,0.023477874601694853,0.00043318048119544983,128,False,False
test128,v6p1if1_0102,test_iid,104.08063510676374,6.2219257498136,0.8420939799398184,5.342109680175781,5.132664375746705,28.538135835027788,31,False,False
test128,v6p1if1_0027,test_iid,108.30907894955442,8.352788873170208,0.546184184961021,3.3094406127929688,3.0555523552502555,10.9523971696035,63,False,False
test128,v6p1if1_0977,test_iid,123.30990716021381,13.99454650745231,0.9259570138528943,14.343055725097656,11.6317139923413,205.72324753325665,6,False,True
test128,v6p1if1_0609,test_iid,53.94660985190893,3.347698927666329,0.11000952869653702,3.4805946350097656,6.451924679909433,12.114539013258764,61,False,False
test128,v6p1if1_0178,test_iid,80.26730329699433,5.771883192531372,0.4985309196636081,1.9585952758789062,2.4400910400988236,3.836095454695169,92,False,False
test128,v6p1if1_0735,test_iid,83.797908183002,6.9077458317088585,0.6351526947692037,7.678863525390625,9.16355037004163,58.96494504157454,19,False,False
test128,v6p1if1_0488,test_iid,42.810678026030644,4.9338333274283706,0.06294894032180309,2.84930419921875,6.655592320883721,8.118534419685602,73,False,False
test128,v6p1if1_0998,test_iid,125.41356225296346,8.453990076825871,0.39317542500793934,1.4911346435546875,1.1889739967253443,2.223482525208965,103,False,False
test128,v6p1if1_0247,test_iid,149.37821536788397,11.66626108661092,0.536764026619494,9.457443237304688,6.331206470778349,89.44323258684017,11,False,False
test128,v6p1if1_0105,test_iid,92.16044939825878,8.232876342332236,0.9552152883261442,14.734130859375,15.987477226487329,217.09461218118668,5,True,True
test128,v6p1if1_0721,test_iid,59.35807037793438,5.346939262659041,0.147709627635777,3.6366348266601562,6.126605537386252,13.225112862477545,57,False,False
test128,v6p1if1_0803,test_iid,56.02312556967183,5.5244133210494635,0.10273800045251846,4.032844543457031,7.198535430590497,16.26383511169115,48,False,False
test128,v6p1if1_0549,test_iid,80.49385554773744,9.026038602144748,0.30685277469456196,0.8454437255859375,1.0503208224192233,0.71477509313263,119,False,False
test128,v6p1if1_0580,test_iid,44.68178666278061,2.6943565142593187,0.0013368930667638779,1.5648307800292969,3.5021669832481925,2.4486953701270977,102,False,False
test128,v6p1if1_0620,test_iid,128.21303713936896,9.557410862057093,0.8450432997196913,7.8472900390625,6.120508658204868,61.57996095716953,18,False,False
test128,v6p1if1_0812,test_iid,64.30860322493032,4.0041054332898405,0.22397685050964355,3.302349090576172,5.135159099981758,10.90550951602927,64,False,False
test128,v6p1if1_0938,test_iid,38.9470833246217,4.499254983090406,0.17702294327318668,0.44266510009765625,1.1365808741262293,0.19595239084446803,123,False,False
test128,v6p1if1_0305,test_iid,68.09244131775762,7.890463871550459,0.4860381977632642,3.815765380859375,5.60380169518797,14.560065441764891,51,False,False
test128,v6p1if1_0760,test_iid,110.86017523938108,6.0161517775285995,0.3496325584128499,1.6816864013671875,1.5169436614509326,2.8280691525433213,100,False,False
test128,v6p1if1_0325,test_iid,123.38804498259753,7.390816335686241,0.6217898447066545,2.8768844604492188,2.331574716865779,8.276464198774192,70,False,False
test128,v6p1if1_0871,test_iid,89.67276796856032,4.90409432971092,0.2848126459866762,8.756782531738281,9.765264003904116,76.6812403081567,14,False,False
test128,v6p1if1_0453,test_iid,37.11512493090396,3.2861818027729086,0.09059648402035236,2.87127685546875,7.736136846674002,8.244230780750513,71,False,False
test128,v6p1if1_0271,test_iid,52.330085074513136,5.808860065943435,0.29200731217861176,1.2498207092285156,2.3883406790737833,1.5620518052164698,111,False,False
test128,v6p1if1_0123,test_iid,111.38308996788817,6.858392489177884,0.38028455432504416,5.468330383300781,4.909479872462961,29.90263718093047,30,False,False
test128,v6p1if1_0421,test_iid,79.82671384989396,7.836427955626231,0.9911152627319098,1.918609619140625,2.4034681206448956,3.681062870658934,94,False,False
test128,v6p1if1_0085,test_iid,50.68970414465616,3.5108647221951492,0.14554112125188112,4.649784088134766,9.173034576933821,21.620492066271254,40,False,False
test128,v6p1if1_0628,test_iid,140.43278549556447,8.024141542846646,0.694130833260715,5.0372772216796875,3.5869666786882815,25.37416180805303,37,False,False
test128,v6p1if1_0122,test_iid,89.46599605205654,7.799761596791699,0.7696647709235549,2.1996917724609375,2.458690306405384,4.838643893832341,87,False,False
test128,v6p1if1_0480,test_iid,57.39527566534349,4.519979437466151,0.04417968913912773,1.8384437561035156,3.2031273215290224,3.379875444356003,96,False,False
test128,v6p1if1_0047,test_iid,63.560266948920685,5.5812326531381,0.25504101254045963,2.42388916015625,3.8135289175298372,5.875238660722971,80,False,False
test128,v6p1if1_0120,test_iid,41.39012524376,2.3478194529877188,0.13449203316122293,1.9203071594238281,4.639529714187891,3.6875795865344116,93,False,False
test128,v6p1if1_0076,test_iid,125.3208584601249,16.019240170928942,0.9100183099508286,4.8146514892578125,3.84185964604588,23.180868963012472,38,False,False
test128,v6p1if1_0475,test_iid,85.3911136425657,8.372079798958755,0.8859289707615972,4.66131591796875,5.458783378186534,21.72786608710885,39,False,False
test128,v6p1if1_0593,test_iid,78.37614588953784,4.343655357974416,0.6789020346477628,2.9033889770507812,3.7044293823056496,8.429667552059982,69,False,False
test128,v6p1if1_0586,test_iid,136.89252080597436,8.141630887071374,0.5278099160641432,4.334930419921875,3.1666671008754532,18.791621745564044,44,False,False
test128,v6p1if1_0785,test_iid,75.37105602977545,4.811511660837301,0.3000304652377963,2.1307907104492188,2.8270676075010104,4.540269051736686,88,False,False
test128,v6p1if1_0923,test_iid,45.29477463551456,2.7941074681970774,0.22227332647889853,3.0349159240722656,6.700366540057051,9.210714666187414,67,False,False
test128,v6p1if1_1013,test_iid,94.38496919518576,4.996894631624357,0.33262778352946043,6.431221008300781,6.8138190467606945,41.36060365760932,24,False,False
test128,v6p1if1_0805,test_iid,105.97438421591909,9.028548369961607,0.5247526038438082,1.7054290771484375,1.6092842527621445,2.908488337183371,99,False,False
test128,v6p1if1_0758,test_iid,77.48014823586709,5.243319174972957,0.8702481584623456,2.5108261108398438,3.2406057138614672,6.304247758875135,77,False,False
test128,v6p1if1_0030,test_iid,63.01781862345314,4.664836908437289,0.33199844416230917,3.096271514892578,4.913327028016563,9.58689729393518,66,False,False
test128,v6p1if1_0160,test_iid,132.71757358393234,13.140557408770682,0.9152384866029024,10.225227355957031,7.704501430995846,104.55527448101202,9,False,True
test128,v6p1if1_0031,test_iid,138.44751356015996,12.345826042668266,0.9401749139651656,8.172760009765625,5.90314683131835,66.79400617722422,17,False,False
test128,v6p1if1_0185,test_iid,34.63242652695499,2.4225759239831604,0.15615527983754873,2.5788002014160156,7.446201320629073,6.650210478823283,75,False,False
test128,v6p1if1_0385,test_iid,54.73007494463508,3.6432184906983727,0.27180708199739456,2.944660186767578,5.38033282385671,8.671023615534068,68,False,False
test128,v6p1if1_0647,test_iid,85.78048149431794,9.72877851270179,0.8853544946759939,4.411994934082031,5.14335529158143,19.465699298365507,43,False,False
test128,v6p1if1_0408,test_iid,118.93976764961116,12.752997203789004,0.5317686321213841,0.6911697387695312,0.5811090373117866,0.47771560779074207,121,False,False
