comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0426,Q4,1.2874419959677592,176.7999833147299,136.93612192423942,-39.863861390490484,16.528000758300077,18.096328532860987,1.5683277745609097,164.57056931863306,116.9782083878637,-47.59236093076936,-4.298586762203252,1.8615850035147359,6.160171765717988
V42_minus_V38,objective,V38,V42,sample_0427,Q3,0.40927183736751865,0.8488462676466926,5.976594092945577,5.127747825298885,0.8210670804100719,0.8571707232760187,0.036103642865946806,0.009719023114674553,5.0432160880705545,5.03349706495588,0.01806016412194592,0.07620728159900303,0.058147117477057114
V42_minus_V38,objective,V38,V42,sample_0445,Q4,0.891042105596325,14.174474364477366,36.53616771937905,22.361693354901686,5.111350947196071,4.361888099935003,-0.7494628472610678,8.384961403673866,30.48859915557381,22.103637751899942,0.6781620136074283,1.6856804638702358,1.0075184502628076
V42_minus_V38,objective,V38,V42,sample_0446,Q1,0.1310501961976198,0.71540864439077,0.2913640986207109,-0.4240445457700591,0.5392510140485113,0.2759373648321391,-0.2633136492163722,0.2552112060496812,0.007338129018226791,-0.24787307703145445,-0.07905357570742264,0.008088604770345002,0.08714218047776764
V42_minus_V38,objective,V38,V42,sample_0454,Q3,0.4176986779773392,1.7716123177011365,1.9786002887435372,0.20698797104240074,1.783539631001829,1.3336828861609797,-0.44985674484084925,0.036674659066229645,0.44215919731190395,0.4054845382456743,-0.04860197236692251,0.20275820527065347,0.251360177637576
V42_minus_V38,objective,V38,V42,sample_0460,Q1,0.1356497507851659,0.1148196751229191,0.10692432100098268,-0.007895354121936426,0.09404166831933093,0.09866366662103497,0.004621998301704039,0.01788841783831759,0.0057419914855342214,-0.012146426352783367,0.0028895889652705694,0.0025186628944134514,-0.00037092607085711807
V42_minus_V38,objective,V38,V42,sample_0463,Q2,0.19819539260262883,2.7515289176243645,3.704004175509973,0.9524752578856086,1.17496453140804,1.7638019538417078,0.5888374224336679,1.7198668489035436,2.0645502688325035,0.3446834199289599,-0.14330246268721863,-0.12434804716423772,0.01895441552298091
V42_minus_V38,objective,V38,V42,sample_0480,Q3,0.5908209952841686,12.167812710952019,15.000124475560948,2.8323117646089297,3.165755552254972,3.9362976467769526,0.7705420945219807,9.212631693244521,10.288087575598666,1.0754558823541451,-0.21057453454747566,0.7757392531853315,0.9863137877328072
V42_minus_V38,objective,V38,V42,sample_0497,Q4,1.2061742300649378,11.687142334245452,8.23685898070831,-3.4502833535371416,8.764844608806017,5.686612656384083,-3.078231952421934,2.8342642958521687,2.40291789611826,-0.43134639973390865,0.08803342958726937,0.1473284282059677,0.05929499861869833
V42_minus_V38,objective,V38,V42,sample_0515,Q4,1.1829935023061868,28.057203485534153,31.900762722887855,3.843559237353702,27.59422088947389,31.1160957925296,3.5218749030557106,1.4614258072757442,2.7230550890407064,1.2616292817649621,-0.998443211215484,-1.9383881586824447,-0.9399449474669608
V42_minus_V38,objective,V38,V42,sample_0516,Q3,0.3631327000516148,1.298682677443528,1.4420798650796283,0.1433971876361002,1.0958761852915262,0.9501957471738964,-0.14568043811762976,0.23619364696707137,0.500623213918179,0.26442956695110764,-0.03338715481506964,-0.008739096012447593,0.024648058802622046
