sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g031_t1_b1_p1,train,1.6721155357793898,0.04500082073360356,7.445209823710172,1.8406192718115904,2.9090514071147027,0.15842870462427072,-8.233739616040718e-11
p1g_g032_t0_b0_p0,train,0.5570623289995956,0.014382312279738027,2.585755111076537,0.5297369667426324,0.8109764626753986,0.015819670240773576,-1.2015630504458308e-10
p1g_g032_t0_b0_p1,train,0.8355934934870368,0.014382312280023067,3.8786326666178184,0.7946054501144317,1.216464693985813,0.023729505358232927,-8.509251636645843e-11
p1g_g032_t0_b1_p0,train,1.476528562662527,0.04359600361839818,6.758492754712961,1.6732477839211697,2.6140252700351994,0.015271235786713078,-1.1951092893092152e-10
p1g_g032_t0_b1_p1,train,2.2147928439242284,0.04359600361853451,10.137739131732928,2.5098716757960347,3.921037904928994,0.022906853677682193,-8.443971447983738e-11
p1g_g032_t1_b0_p0,train,0.48369257859099735,0.017263291060700094,2.590979778108874,0.5326267910397178,0.6146179580876492,0.015907620474763462,-1.1852280615287647e-10
p1g_g032_t1_b0_p1,train,0.7255388678783894,0.017263291061112705,3.8864696671618617,0.7989401865599461,0.9219269371109249,0.023861430709644083,-8.267200812817066e-11
p1g_g032_t1_b1_p0,train,1.114203554435882,0.0449328369455891,4.996544413367644,1.2180122480463638,1.9449551065044943,0.015505051778802681,-1.1817323508633848e-10
p1g_g032_t1_b1_p1,train,1.67130533160282,0.0449328369457894,7.4948166198000195,1.8270183720041473,2.91743265966295,0.023257577667777696,-8.233241866051344e-11
p1g_g033_t0_b0_p0,train,0.5998536197160761,0.015482826900772382,3.1139034424390957,0.5288326265399519,0.8467188959278928,0.029911933635901278,-1.2016243902679413e-10
p1g_g033_t0_b0_p1,train,0.8997804295629526,0.015482826901116818,4.670855163658132,0.7932489398104963,1.2700783438673966,0.044867900453652965,-8.51029385851021e-11
p1g_g033_t0_b1_p0,train,1.5078036370476608,0.04450832935822933,7.010390799357026,1.68822314141147,2.6519719630887835,0.029925990918457046,-1.1937818095164587e-10
p1g_g033_t0_b1_p1,train,2.261705455499126,0.04450832935833336,10.515586198729864,2.532334712025886,3.9779579444997353,0.04488898637805505,-8.43588994955032e-11
p1g_g033_t1_b0_p0,train,0.5282394789155478,0.018845898690562,3.119370620065979,0.5317236490979553,0.6503501356962147,0.02995799854232928,-1.185414925941597e-10
p1g_g033_t1_b0_p1,train,0.792359218367058,0.01884589869107938,4.679055930086918,0.7975854736478141,0.9755252035324702,0.04493699782000249,-8.267674045381312e-11
p1g_g033_t1_b1_p0,train,1.1484478145059664,0.046297363661886914,5.555403471443299,1.2329953727298175,1.9829070066221561,0.029972008488641677,-1.1800876248413417e-10
p1g_g033_t1_b1_p1,train,1.7226717217067933,0.04629736366209561,8.333105206973812,1.8494930590252352,2.9743605098324792,0.044958012738106845,-8.22022357590176e-11
p1g_g034_t0_b0_p0,train,0.5477152458522374,0.014151540909975271,2.777320902034319,0.5089063955459778,0.7739905037605581,0.10820664366036681,-1.201672650275043e-10
p1g_g034_t0_b0_p1,train,0.8215728687663116,0.014151540910257438,4.165981353058555,0.763359593319251,1.160985755612387,0.16230996548824805,-8.509405217497583e-11
