sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0650,2,Heat3D,heat3d_seed2,76411.75616969845,246377983.00061244,9.002236121873242e-08,0.0003941658465894567,88919.30582237244,240825,17295.282007959497,2409,1.5112478792600226,1.7610802346656886,0.5632864523530993,0.3692278867325753,3.10308837890625,2.6794485600806954
v6p1if1_0650,0,Therm-FM,thermfm_seed0,286674.44088073465,246377983.00061244,4.358391331508789e-07,0.0003941658465894567,175251.53254699707,240825,26678.2161298859,2409,3.325244742672547,3.4110928362714836,1.0910476107610083,0.7277132048043063,7.1123046875,3.327821270504304
v6p1if1_0650,1,Therm-FM,thermfm_seed1,280594.42412807327,246377983.00061244,4.459459959694242e-07,0.0003941658465894567,205813.03112983704,240825,7353.344536308199,2409,3.3635790503829246,3.3747264126766914,1.0794157081774391,0.8546165519769003,7.442478179931641,1.747125319200476
v6p1if1_0650,2,Therm-FM,thermfm_seed2,228669.93294736178,246377983.00061244,4.197817328393329e-07,0.0003941658465894567,184516.3824672699,240825,3366.938541609037,2409,3.2634147521708248,3.046516849631319,0.9744369589092184,0.7661845010579047,3.1911277770996094,1.1822224291493653
v6p1if1_0652,0,Heat3D,heat3d_seed0,1333537.367566565,1001925629.4505552,1.897057298882305e-06,0.0015644412816062164,475091.68183898926,240825,98853.19140807627,2409,3.4822551600476155,3.6482521898248472,2.353161912285595,1.9727672867808128,5.5469207763671875,6.405852690763036
v6p1if1_0652,1,Heat3D,heat3d_seed1,2153974.503466771,1001925629.4505552,3.2931202656007408e-06,0.0015644412816062164,610001.8997116089,240825,122937.78098560957,2409,4.5880079535057225,4.636631016610182,2.9906768890702553,2.5329675063286987,3.3222198486328125,7.1437177138562395
v6p1if1_0652,2,Heat3D,heat3d_seed2,2335646.690579175,1001925629.4505552,3.7926142197056288e-06,0.0015644412816062164,701433.740234375,240825,74379.35425453255,2409,4.923678654747418,4.828206441912294,3.1142450994610194,2.9126284241020453,3.5668792724609375,5.5565829475816475
v6p1if1_0652,0,Therm-FM,thermfm_seed0,315336.6740140809,1001925629.4505552,4.848465964116185e-07,0.0015644412816062164,218374.99849700928,240825,10124.668634697562,2409,1.7604453267096736,1.7740648789270619,1.1442909332468991,0.9067787750317006,0.651519775390625,2.0500856662534415
v6p1if1_0652,1,Therm-FM,thermfm_seed1,427767.27479040046,1001925629.4505552,6.825923247254396e-07,0.0015644412816062164,242700.7341079712,240825,29675.92742843117,2409,2.0888202382187226,2.0662650765607826,1.3327632043666782,1.0077887848353417,2.1079254150390625,3.5098111570287944
v6p1if1_0652,2,Therm-FM,thermfm_seed2,449443.3463863793,1001925629.4505552,6.338931110521656e-07,0.0015644412816062164,271200.6152229309,240825,17880.31913250516,2409,2.0129286551838756,2.1179696607767284,1.3661132174515378,1.1261314864442267,1.095703125,2.7243897205277388
v6p1if1_0653,0,Heat3D,heat3d_seed0,51266.96491512652,704905294.4479649,9.012500420385855e-08,0.0011057868911600942,88972.21132278442,240825,1067.4833455333428,2409,0.9027903961138238,0.8528122251630894,0.46138983173686593,0.36944757115243193,0.6353683471679688,0.6656748575660464
v6p1if1_0653,1,Heat3D,heat3d_seed1,230217.83422414673,704905294.4479649,4.5006563078852593e-07,0.0011057868911600942,217325.97681808472,240825,1630.1440007138008,2409,2.0174473336321617,1.807191169141283,0.9777294518579271,0.9024228249479278,0.37151336669921875,0.822611137113519
v6p1if1_0653,2,Heat3D,heat3d_seed2,198064.03418153006,704905294.4479649,4.529101798475326e-07,0.0011057868911600942,199568.82151412964,240825,2069.070034424629,2409,2.0238127261957355,1.6762447243985727,0.9068845972419818,0.8286881408247883,0.46564483642578125,0.926764085719189
v6p1if1_0653,0,Therm-FM,thermfm_seed0,694988.969069473,704905294.4479649,1.1156212815374176e-06,0.0011057868911600942,349743.97174835205,240825,2795.418014381881,2409,3.176308498112622,3.1399560514197065,1.6987840364842788,1.4522743558532214,2.3433609008789062,1.0772214180724975
v6p1if1_0653,1,Therm-FM,thermfm_seed1,213892.7223361351,704905294.4479649,3.866439305663971e-07,0.0011057868911600942,176441.9013786316,240825,2100.7057776001457,2409,1.8699064513756587,1.741937697000602,0.9424259141706276,0.7326560837896049,6.616828918457031,0.9338222443590837
v6p1if1_0653,2,Therm-FM,thermfm_seed2,1718432.8431145702,704905294.4479649,2.6407457112937014e-06,0.0011057868911600942,608898.2905197144,240825,8177.701242372932,2409,4.886833844479684,4.937429368610869,2.6712559205637274,2.5283848874482064,6.669342041015625,1.8424564029218937
v6p1if1_0654,0,Heat3D,heat3d_seed0,2546969.0075376285,1332790641.9625177,4.00505155404723e-06,0.0019583034626754095,758970.9848136902,240825,59786.279339450004,2409,4.5223488405286805,4.371503825825256,3.2520786906826067,3.1515456651663665,4.364250183105469,4.98175497839646
v6p1if1_0654,1,Heat3D,heat3d_seed1,1886603.2274135405,1332790641.9625177,3.0315876823076397e-06,0.0019583034626754095,642362.9159507751,240825,46886.36296545487,2409,3.934550021017915,3.762351082652921,2.7989136622686996,2.6673431576903357,3.6349411010742188,4.4116888291469465
v6p1if1_0654,2,Heat3D,heat3d_seed2,1701441.4265752574,1332790641.9625177,2.9426259107265296e-06,0.0019583034626754095,616760.1213645935,240825,41492.45265549427,2409,3.876390597264037,3.572954897640266,2.6580167714235996,2.5610302973719237,3.0880661010742188,4.150172549914227
v6p1if1_0654,0,Therm-FM,thermfm_seed0,210964.03828022367,1332790641.9625177,2.9267255519723823e-07,0.0019583034626754095,184208.8661956787,240825,3014.2433738035033,2409,1.2225060123692797,1.2581234225503182,0.9359516852194814,0.7649075727008355,0.30841827392578125,1.1185895491251463
v6p1if1_0654,1,Therm-FM,thermfm_seed1,686499.0320366968,1332790641.9625177,1.3045776909995318e-06,0.0019583034626754095,367768.5195083618,240825,4123.412180878106,2409,2.5810414426107595,2.2695460399110767,1.688376038999478,1.5271193584900313,0.324615478515625,1.3083079329886398
v6p1if1_0654,2,Therm-FM,thermfm_seed2,179838.00136933534,1332790641.9625177,3.2647753179896646e-07,0.0019583034626754095,168916.1991996765,240825,2504.533758865262,2409,1.2911795926371012,1.161608459979458,0.8641516215309931,0.7014064121236437,1.5783004760742188,1.0196357286007238
v6p1if1_0669,0,Heat3D,heat3d_seed0,1010007.8185296443,1349146453.1071157,1.520279374563833e-06,0.002114996458719369,470335.48014831543,240825,31709.655821471126,2409,2.6810621374236616,2.7361053789067658,2.0479133795476705,1.9530176690472976,3.6221771240234375,3.6280842547659824
v6p1if1_0669,1,Heat3D,heat3d_seed1,1478558.8960166904,1349146453.1071157,2.359534117151074e-06,0.002114996458719369,578674.3946838379,240825,40193.083370358334,2409,3.340091070428921,3.3104708365944537,2.477813015218362,2.4028833994968872,3.6846160888671875,4.084672692482833
